Assembly District (current),City,Company Name,Congressional District (current),County,HID,Management,Number of buildings in project,Project status,School district name,School district SDL code,State Senate District (current),Street Address,Total units in project,Type,Zip,x,y
85,Bronx,Tower Gardens,14,Bronx,H019,"Prestige Management, Inc.",2,Active,NYC GEOG DIST # 8 - BRONX,320800,32,1591 Bruckner Boulevard,209,COOP,10472,,
58,Brooklyn,Gorman Apartments,8,Kings,H020,"Metro Management Development, Inc.",2,Active,NYC GEOG DIST #23 - BROOKLYN,332300,19,1381 Linden Boulevard,342,COOP,11212,,
137,Rochester,Chatham Gardens,25,Monroe,H021,"Rochester Management, Inc",11,Active,ROCHESTER CITY SD,261600,55,150 Kelly Street,184,RENT,14605,,
32,Jamaica,Rochdale Village,5,Queens,H025,"Marion Scott Real Estate,  Inc.",20,Active,NYC GEOG DIST #29 - QUEENS,342900,10,169-65 137th Avenue,5860,COOP,11434,,
79,Bronx,Concourse Village,15,Bronx,H028,"Prestige Management, Inc.",6,Active,NYC GEOG DIST # 7 - BRONX,320700,29,775 Concourse Village E.,1883,COOP,10451,,
81,Bronx,Orloff Towers,13,Bronx,H029,"Matthew Adam Properties, Inc.",1,Active,NYC GEOG DIST #10 - BRONX,321000,31,3900 Bailey Avenue,189,COOP,10463,,
72,New York,Nagle House,13,New York,H030,"Metro Management Development, Inc.",1,Active,NYC GEOG DIST # 6 - MANHATTAN,310600,31,240 Nagle Avenue,180,COOP,10034,,
80,Bronx,Oak Towers (Oak Drive),15,Bronx,H031,"Prestige Management, Inc.",1,Active,NYC GEOG DIST #11 - BRONX,321100,36,3260 Cruger Avenue,100,COOP,10467,,
72,New York,Inwood Gardens,13,New York,H042,"Metro Management Development, Inc.",1,Active,NYC GEOG DIST # 6 - MANHATTAN,310600,31,45 Fairview Avenue,218,COOP,10040,,
72,New York,Inwood Tower,13,New York,H043,"Metro Management Development, Inc.",1,Active,NYC GEOG DIST # 6 - MANHATTAN,310600,31,11 Fort George Hill,190,COOP,10040,,
70,New York,River View Towers,13,New York,H044,"Prestige Management, Inc.",1,Active,NYC GEOG DIST # 6 - MANHATTAN,310600,30,626 Riverside Drive,385,COOP,10031,,
93,Bedford,Fellowship Hall,17,Westchester,H045,"Fellowship Hall, Inc.",8,Active,BEDFORD CSD,660102,40,212 Babbitt Road,71,COOP,10507,,
46,Brooklyn,Warbasse Houses,8,Kings,H047,Amalgamated Warbasse Hses,5,Active,NYC GEOG DIST #21 - BROOKLYN,332100,23,2800 West 5th Street,2595,COOP,11224,,
137,Rochester,Plymouth Gardens,25,Monroe,H053,"Rochester Management, Inc",1,Active,ROCHESTER CITY SD,261600,56,1400 S.Plymouth Avenue,230,RENT,14608,,
