HFA ID,Address,Building Units,Owner Name,HUD LIHTC ID,BBL / Parcel ID,BIN (NYC DOB),Census Tract (2020),Assembly District,State Senate District,Congressional District,latitude,longitude,Property name,Total Project Units,Number of buildings in project,Management name,Contact address,Contact phone,Contact email,County,New Construction / Rehab,Placed-in-Service date,Floodplain 100-yr / 500-yr flag,School district name,School district SDL code,x,y
1649,"41 Hudson Ave, Glens Falls, 12801",5,Hudson Avenue Housing Associates LLC,NY-07-90050,,NA,36113070200,113,45,21,43.30588089,-73.65106204,Village Green (aka Henry Hudson),136,21,"Preservation Management, Inc.",,,,Warren,New Construction,10/15/2008,(County not covered by FEMA NFHL digital FIRM data),GLENS FALLS CITY SD,630300,609403.3492805978,4795666.681319697
1649,"2 South Delaware Ave, Glens Falls, 12801",6,Hudson Avenue Housing Associates LLC,NY-07-90051,,NA,36113070200,113,45,21,43.30642685,-73.65079681,Village Green (aka Henry Hudson),136,21,"Preservation Management, Inc.",,,,Warren,New Construction,10/15/2008,(County not covered by FEMA NFHL digital FIRM data),GLENS FALLS CITY SD,630300,609423.8810721975,4795727.660996929
1649,"10 Chelsea Way, Glens Falls, 12801",4,Hudson Avenue Housing Associates LLC,NY-07-90052,,NA,36113070200,113,45,21,43.30673653,-73.65055911,Village Green (aka Henry Hudson),136,21,"Preservation Management, Inc.",,,,Warren,New Construction,11/27/2008,(County not covered by FEMA NFHL digital FIRM data),GLENS FALLS CITY SD,630300,609442.6036895487,4795762.364324997
1649,"12 Chelsea Way, Glens Falls, 12801",4,Hudson Avenue Housing Associates LLC,NY-07-90053,,NA,36113070200,113,45,21,43.3068756,-73.6501939,Village Green (aka Henry Hudson),136,21,"Preservation Management, Inc.",,,,Warren,New Construction,11/27/2008,(County not covered by FEMA NFHL digital FIRM data),GLENS FALLS CITY SD,630300,609471.9737370628,4795778.287549642
1649,"20 Columbia Ave, Glens Falls, 12801",4,Hudson Avenue Housing Associates LLC,NY-07-90054,,NA,36113070200,113,45,21,43.30708644,-73.64968748,Village Green (aka Henry Hudson),136,21,"Preservation Management, Inc.",,,,Warren,New Construction,12/30/2008,(County not covered by FEMA NFHL digital FIRM data),GLENS FALLS CITY SD,630300,609512.667297584,4795802.366560232
1649,"22 Columbia Ave, Glens Falls, 12801",5,Hudson Avenue Housing Associates LLC,NY-07-90055,,NA,36113070200,113,45,21,43.30725704,-73.64928695,Village Green (aka Henry Hudson),136,21,"Preservation Management, Inc.",,,,Warren,New Construction,12/30/2008,(County not covered by FEMA NFHL digital FIRM data),GLENS FALLS CITY SD,630300,609544.8449201786,4795821.8380238535
1649,"11 Chelsea Way, Glens Falls, 12801",8,Hudson Avenue Housing Associates LLC,NY-07-90056,,NA,36113070200,113,45,21,43.30650743,-73.65020337,Village Green (aka Henry Hudson),136,21,"Preservation Management, Inc.",,,,Warren,New Construction,12/30/2008,(County not covered by FEMA NFHL digital FIRM data),GLENS FALLS CITY SD,630300,609471.8665083305,4795737.387594196
1649,"21 Columbia Ave, Glens Falls, 12801",4,Hudson Avenue Housing Associates LLC,NY-07-90057,,NA,36113070200,113,45,21,43.30680772,-73.6494901,Village Green (aka Henry Hudson),136,21,"Preservation Management, Inc.",,,,Warren,New Construction,12/30/2008,(County not covered by FEMA NFHL digital FIRM data),GLENS FALLS CITY SD,630300,609529.1758671061,4795771.671826782
1649,"23 Columbia Ave, Glens Falls, 12801",5,Hudson Avenue Housing Associates LLC,NY-07-90058,,NA,36113070200,113,45,21,43.30696346,-73.64911863,Village Green (aka Henry Hudson),136,21,"Preservation Management, Inc.",,,,Warren,New Construction,12/14/2008,Not in floodplain,GLENS FALLS CITY SD,630300,609559.0234417536,4795789.454949527
1650,"312 Eleventh Ave, New York, 10001",369,Douglaston Development,NY-11-90139,1007010062,1088120,36061009902,75,47,12,40.753209,-74.003753,DD 11th Avenue,369,1,Clinton Management,,,,New York,New Construction,1/31/2010,Not in floodplain,NYC GEOG DIST # 2 - MANHATTAN,310200,584098.2704160585,4511838.824619535
1653,"55 East 115th Street , New York, 10029",55,Harsforo & Poteat Realty,NY-11-90033,1016217502,1088480,36061018400,68,30,13,40.799212,-73.944848,Colon Plaza Apartments,55,1,Innovative Property Management,,,,New York,New Construction,8/10/2010,Not in floodplain,NYC GEOG DIST # 4 - MANHATTAN,310400,589009.394649249,4517003.6415545475
1654,"600 West 42nd Street, New York, 10036",1169,River Place II LLC,NY-11-90020,1010897502,1085962,36061011700,67,47,12,40.760787,-73.998819,River Place II,1169,1,"Silverstein Properties, Inc.",,,,New York,New Construction,7/31/2009,500-year,NYC GEOG DIST # 2 - MANHATTAN,310200,584505.1833125501,4512684.778087896
1656,"450 West 17th Street, New York, 10011",288,"17th and 10th Associates, LLC",NY-09-90118,1007147501,1080359,36061008300,75,47,12,40.743661,-74.00614,The Caledonia,288,1,"RA Management, LLC",,,,New York,New Construction,4/30/2008,Not in floodplain,NYC GEOG DIST # 2 - MANHATTAN,310200,583908.7704692754,4510776.643806734
1659,"22 East First Street, New York, 10003",90,"AVB Bowery II, LLC",NY-10-87698,1004570028,1087698,36061003602,66,27,10,40.724582,-73.991276,Avalon Bowery II,90,1,"AvalonBay Communities, Inc.",,,,New York,New Construction,11/8/2007,Not in floodplain,NYC GEOG DIST # 1 - MANHATTAN,310100,585188.0490451765,4508673.057802145
1660,"400 Park Drive Manor, Rome, 13440",8,Park Drive Manor II Associates Co. LLC,NY-08-90035,,NA,36065022500,119,53,22,43.217382,-75.427063,Park Drive Manor II,168,24,"Cook, Brittney",,,,Oneida,Preservation / Rehab,12/30/2007,Not in floodplain,ROME CITY SD,411800,465313.74235433905,4785043.678206157
1660,"432 Park Drive Manor, Rome, 13440",8,Park Drive Manor II Associates Co. LLC,NY-08-90036,,NA,36065022500,119,53,22,43.218756,-75.421843,Park Drive Manor II,168,24,"Cook, Brittney",,,,Oneida,Preservation / Rehab,12/30/2007,Not in floodplain,ROME CITY SD,411800,465738.48301219847,4785194.1138955755
1660,"434 Park Drive Manor, Rome, 13440",6,Park Drive Manor II Associates Co. LLC,NY-08-90037,,NA,36065022500,119,53,22,43.218819,-75.421978,Park Drive Manor II,168,24,"Cook, Brittney",,,,Oneida,Preservation / Rehab,12/31/2007,Not in floodplain,ROME CITY SD,411800,465727.55376818636,4785201.165509558
1660,"436 Park Drive Manor, Rome, 13440",8,Park Drive Manor II Associates Co. LLC,NY-08-90038,,NA,36065022500,119,53,22,43.218887,-75.42211,Park Drive Manor II,168,24,"Cook, Brittney",,,,Oneida,Preservation / Rehab,12/30/2007,Not in floodplain,ROME CITY SD,411800,465716.87100384064,4785208.771175843
1660,"438 Park Drive Manor, Rome, 13440",8,Park Drive Manor II Associates Co. LLC,NY-08-90039,,NA,36065022500,119,53,22,43.218962,-75.422235,Park Drive Manor II,168,24,"Cook, Brittney",,,,Oneida,Preservation / Rehab,12/30/2007,Not in floodplain,ROME CITY SD,411800,465706.76071573456,4785217.151359306
1660,"440 Park Drive Manor, Rome, 13440",8,Park Drive Manor II Associates Co. LLC,NY-08-90040,,NA,36065022500,119,53,22,43.218947,-75.422524,Park Drive Manor II,168,24,"Cook, Brittney",,,,Oneida,Preservation / Rehab,12/30/2007,Not in floodplain,ROME CITY SD,411800,465683.28016673226,4785215.604062138
1660,"442 Park Drive Manor, Rome, 13440",6,Park Drive Manor II Associates Co. LLC,NY-08-90041,,NA,36065022500,119,53,22,43.218887,-75.422647,Park Drive Manor II,168,24,"Cook, Brittney",,,,Oneida,Preservation / Rehab,12/31/2007,Not in floodplain,ROME CITY SD,411800,465673.2566340447,4785208.9913530825
