Property Name,Contract No.,Address,County,Agent name,Owner name,NYC flag,BIN (NYC DOB),BBL / Parcel ID,State Senate District (current),Assembly District (current),Congressional District (current),Tract GEOID (2020 Census),Floodplain flag,School district name,School district SDL code,latitude,longitude,Property Code,x,y
Parkside Court Apts,NY020012007,"53 S Main St, Dolgeville, 13329",Herkimer,Dolgeville Housing Authority,Dolgeville Housing Authority,ROS,,,49,118,21,36043011001,,DOLGEVILLE CSD,211003,43.0999842,-74.77280612,800015638,518488.1473443388,4771943.01437316
Parkview Apts,NY360008002,"2363 Southern Blvd, Bronx, 10460",Bronx,PCL Management,TEG Bronx Park LLC,NYC,2013051,2031140067,33,78,15,36005039300,,NYC GEOG DIST #10 - BRONX,321000,40.85289026,-73.88199955,800015639,594235.1700005677,4523028.129526562
Parkville Houses,NY36T871007,"720 East 8th St, Brooklyn, 11230",Kings,Progress of Peoples Mgmt Corp,"Msgr. Edward T. Burke Senior Apartments, L.P.",NYC,3253208,3054240050,21,44,9,36047048200,,NYC GEOG DIST #22 - BROOKLYN,332200,40.63257212,-73.96881576,800015641,587204.7061160937,4498481.439460773
Historic Pastures Mansions,NY06H108039,"68 Westerlo Street, Albany, 12202",Albany,CRM Rental Management Inc,"Historic Pastures Mansions, LLC.",ROS,,,46,109,20,36001002500,500-year,ALBANY CITY SD,10100,42.64388635,-73.75479078,800015643,602079.7937112702,4722021.727284982
Paul Robeson Houses,NY360011107,"1990 Adam Clayton Powell Jr Bl, New York, 10026",New York,SHP Management Corp,"1990 ACP Jr. Blvd., LLC",NYC,1058449,1019250036,30,70,13,36061022000,,NYC GEOG DIST # 3 - MANHATTAN,310300,40.80570267,-73.95105106,800015645,588477.4941347855,4517717.881731025
Paumanack Village I,NY360012008,"650 Paumanack Village Drive, Greenlawn, 11740",Suffolk,JMD/Einsidler Management Corp.,Village Housing Associates,ROS,,,2,10,1,36103111503,,HARBORFIELDS CSD,580406,40.86853658,-73.35211831,800015646,638867.1644462364,4525470.409493239
Paumanack Village II,NY362197201,"650 Paumanack Village Drive, Greenlawn, 11740",Suffolk,JMD/Einsidler Management Corp.,Paumanack Village II Owner LP,ROS,,,2,10,1,36103111503,,HARBORFIELDS CSD,580406,40.86853658,-73.35211831,800015647,638867.1644462364,4525470.409493239
Paumanack Village III,NY36T871002,"150 Duncan Elder Drive, Greenlawn, 11740",Suffolk,JMD/Einsidler Management Corp.,Paumanack Village III Owner LP,ROS,,,2,10,1,36103111503,,HARBORFIELDS CSD,580406,40.86456553,-73.35003825,800015648,639050.7670244022,4525032.870719874
Barham House,NY36T881025,"951 Main St, Peekskill, 10566",Westchester,Community Housing Management Corporation,Barham House LLC,ROS,,,40,95,17,36119014300,,PEEKSKILL CITY SD,661500,41.29139235,-73.92085522,800015651,590357.547632471,4571666.749366719
Penn Gardens I,NY360015051,"350-378 Pennsylvania Ave, Brooklyn, 11207",Kings,Metropolitan Realty Group LLC,Penn Gardens Associates,NYC,3084289,3037710033,19,60,8,36047115600,,NYC GEOG DIST #19 - BROOKLYN,331900,40.668752,-73.895426,800015653,593360.7665351166,4502572.958100161
